lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
B,2,0,47.25379668027165,64,4.9,5.4,10.8,56,0,0,0,0,0,0,0
B,2,1,47.25636326000097,64,4.9,5,6.8,1,1,0,0,0,0,0,0
B,2,2,47.260731856524956,64,4.8,5,9.9,10,2,0,0,0,0,0,0
B,2,3,47.26746165007364,64,4.8,4.9,6.6,1,3,0,0,0,0,0,0
B,2,4,47.27766643762595,64,4.8,4.9,6.6,1,4,0,0,0,0,0,0
B,2,5,47.28584959805005,64,4.8,4.9,6.7,1,5,0,0,0,0,0,0
B,2,6,47.30439080595971,64,4.8,4.9,6.8,34,6,0,0,0,0,0,0
B,2,7,47.31016860008242,64,4.8,4.9,6.7,1,7,0,0,0,0,0,0
B,2,8,47.339061117172264,64,4.8,5,9.8,1,8,0,0,0,0,0,0
B,2,9,47.339702007174424,64,4.8,4.9,6.7,1,9,0,0,0,0,0,0
B,2,10,47.37124681919806,64,4.8,5,9.8,4,10,0,0,0,0,0,0
B,2,11,47.38116506189107,64,4.8,4.9,6.7,1,11,0,0,0,0,0,0
B,2,12,47.405578786134754,64,4.8,4.9,8.7,11,12,0,0,0,0,0,0
B,2,13,47.42490748912098,64,4.8,5,6.8,55,13,0,0,0,0,0,0
B,2,14,47.44107317328451,64,4.8,4.9,6.7,1,14,0,0,0,0,0,0
B,2,15,47.46560525596135,64,4.8,4.9,6.4,1,15,0,0,0,0,0,0
B,2,16,47.476804162561905,64,4.9,5,6.4,1,16,0,0,0,0,0,0
B,2,17,47.497136956453346,64,4.8,5,7.5,35,17,0,0,0,0,0,0
B,2,18,47.51263943389063,64,4.9,5,6.7,1,18,0,0,0,0,0,0
B,2,19,47.514584347605705,64,4.8,5,6.7,1,19,0,0,0,0,0,0
B,2,20,47.54827588349582,64,4.85,5,8.7,5,20,0,0,0,0,0,0
B,2,21,47.58362434357406,64,4.9,5,6.7,1,21,0,0,0,0,0,0
B,2,22,47.61869406104091,64,4.9,5,7.2,41,22,0,0,0,0,0,0
B,2,23,47.65354026705023,64,4.8,5,6.7,31,23,0,0,0,0,0,0
