lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
B,5,0,47.25379668027165,64,12.6,13.1,14.2,7,0,0,0,0,0,0,0
B,5,1,47.25636326000097,64,12.6,13,13.1,18,1,0,0,0,0,0,0
B,5,2,47.260731856524956,64,12.6,13,14.2,28,2,0,0,0,0,0,0
B,5,3,47.26746165007364,64,12.6,12.9,14,2,3,0,0,0,0,0,0
B,5,4,47.27766643762595,64,12.6,13,14.1,2,4,0,0,0,0,0,0
B,5,5,47.28584959805005,64,12.6,13,13.1,18,5,0,0,0,0,0,0
B,5,6,47.30439080595971,64,12.6,13,14,39,6,0,0,0,0,0,0
B,5,7,47.31016860008242,64,12.6,13,13.2,19,7,0,0,0,0,0,0
B,5,8,47.339061117172264,64,12.6,13,14.6,3,8,0,0,0,0,0,0
B,5,9,47.339702007174424,64,12.6,13,14.2,31,9,0,0,0,0,0,0
B,5,10,47.37124681919806,64,12.6,13,14.1,2,10,0,0,0,0,0,0
B,5,11,47.38116506189107,64,12.6,13,14.1,2,11,0,0,0,0,0,0
B,5,12,47.405578786134754,64,12.6,13,14.3,6,12,0,0,0,0,0,0
B,5,13,47.42490748912098,64,12.6,13.1,14.1,29,13,0,0,0,0,0,0
B,5,14,47.44107317328451,64,12.6,13,14.3,14,14,0,0,0,0,0,0
B,5,15,47.46560525596135,64,12.6,13,14.7,17,15,0,0,0,0,0,0
B,5,16,47.476804162561905,64,12.6,13.1,13.1,3,16,0,0,0,0,0,0
B,5,17,47.497136956453346,64,12.6,13,14.3,20,17,0,0,0,0,0,0
B,5,18,47.51263943389063,64,12.6,13.1,13.8,2,18,0,0,0,0,0,0
B,5,19,47.514584347605705,64,12.6,13,14.1,2,19,0,0,0,0,0,0
B,5,20,47.54827588349582,64,12.6,12.9,13.1,18,20,0,0,0,0,0,0
B,5,21,47.58362434357406,64,12.6,13,14.2,41,21,0,0,0,0,0,0
B,5,22,47.61869406104091,64,12.6,13,21.5,11,22,0,0,0,0,0,0
B,5,23,47.65354026705023,64,12.6,13,14.3,7,23,0,0,0,0,0,0
B,5,24,47.68824782669549,64,12.6,13,14.2,4,24,0,0,0,0,0,0
B,5,25,47.72291185855869,64,12.6,13,13.9,42,25,0,0,0,0,0,0
B,5,26,47.757624070346424,64,12.6,13,14.4,44,26,0,0,0,0,0,0
B,5,27,47.79246309995665,64,12.7,13,13.2,19,27,0,0,0,0,0,0
B,5,28,47.827488413453125,64,12.6,13,14.1,33,28,0,0,0,0,0,0
B,5,29,47.862737081945,64,12.6,13,18.6,24,29,0,0,0,0,0,0
B,5,30,47.89822296798229,64,12.6,13,14.3,24,30,0,0,0,0,0,0
B,5,31,47.93393765389919,64,12.6,13,14.1,9,31,0,0,0,0,0,0
B,5,32,47.96985266357666,64,12.6,13,14.6,18,32,0,0,0,0,0,0
B,5,33,48.00592249780897,64,12.7,13,14.4,11,33,0,0,0,0,0,0
B,5,34,48.042088118195466,64,12.649999999999999,13,14.4,2,34,0,0,0,0,0,0
B,5,35,48.07828054577118,64,12.6,12.9,13,2,35,0,0,0,0,0,0
B,5,36,48.11442436575891,64,12.6,13,14.4,29,36,0,0,0,0,0,0
B,5,37,48.15044099241493,64,12.6,13,13,2,37,0,0,0,0,0,0
B,5,38,48.1862515375019,64,12.6,13,14.3,8,38,0,0,0,0,0,0
B,5,39,48.22177927196026,64,12.6,13,13,3,39,0,0,0,0,0,0
B,5,40,48.256951592117616,64,12.6,13,14.2,20,40,0,0,0,0,0,0
