lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
A,1,0,47.25379668027165,64,4.9,5.3,14.8,0,0,0,0,0,0,0,0
A,1,1,47.25636326000097,64,4.8,5,7.1,2,1,0,0,0,0,0,0
A,1,2,47.260731856524956,64,4.8,4.9,7,2,2,0,0,0,0,0,0
A,1,3,47.26746165007364,64,4.8,4.9,6.9,2,3,0,0,0,0,0,0
A,1,4,47.27766643762595,64,4.7,4.8,6.8,2,4,0,0,0,0,0,0
A,1,5,47.28584959805005,64,4.7,4.9,6.8,2,5,0,0,0,0,0,0
A,1,6,47.30439080595971,64,4.7,4.9,6.7,2,6,0,0,0,0,0,0
A,1,7,47.31016860008242,64,4.7,4.8,6.8,2,7,0,0,0,0,0,0
A,1,8,47.339061117172264,64,4.7,4.8,6.8,2,8,0,0,0,0,0,0
A,1,9,47.339702007174424,64,4.7,4.9,6.8,2,9,0,0,0,0,0,0
A,1,10,47.37124681919806,64,4.7,4.9,6.6,2,10,0,0,0,0,0,0
A,1,11,47.38116506189107,64,4.7,4.9,6.7,2,11,0,0,0,0,0,0
A,1,12,47.405578786134754,64,4.7,4.9,6.8,2,12,0,0,0,0,0,0
A,1,13,47.42490748912098,64,4.7,4.9,6.7,2,13,0,0,0,0,0,0
A,1,14,47.44107317328451,64,4.7,5,6.8,2,14,0,0,0,0,0,0
A,1,15,47.46560525596135,64,4.7,4.9,6.7,2,15,0,0,0,0,0,0
A,1,16,47.476804162561905,64,4.8,4.9,6.6,2,16,0,0,0,0,0,0
A,1,17,47.497136956453346,64,4.7,4.9,6.8,2,17,0,0,0,0,0,0
A,1,18,47.51263943389063,64,4.8,4.9,6.8,2,18,0,0,0,0,0,0
A,1,19,47.514584347605705,64,4.7,4.9,6.6,2,19,0,0,0,0,0,0
A,1,20,47.54827588349582,64,4.8,4.9,21.5,3,20,0,0,0,0,0,0
A,1,21,47.58362434357406,64,4.8,4.9,6.6,2,21,0,0,0,0,0,0
A,1,22,47.61869406104091,64,4.8,5,6.8,2,22,0,0,0,0,0,0
A,1,23,47.65354026705023,64,4.7,4.9,6.7,2,23,0,0,0,0,0,0
A,1,24,47.68824782669549,64,4.7,4.8,6.8,2,24,0,0,0,0,0,0
A,1,25,47.72291185855869,64,4.8,4.9,6.6,2,25,0,0,0,0,0,0
A,1,26,47.757624070346424,64,4.8,5,6.5,2,26,0,0,0,0,0,0
A,1,27,47.79246309995665,64,4.75,4.9,6.8,2,27,0,0,0,0,0,0
A,1,28,47.827488413453125,64,4.8,4.9,6.6,2,28,0,0,0,0,0,0
A,1,29,47.862737081945,64,4.8,4.9,6.7,2,29,0,0,0,0,0,0
A,1,30,47.89822296798229,64,4.8,4.9,6.8,2,30,0,0,0,0,0,0
A,1,31,47.93393765389919,64,4.8,4.9,6.8,2,31,0,0,0,0,0,0
A,1,32,47.96985266357666,64,4.8,4.9,6.7,2,32,0,0,0,0,0,0
A,1,33,48.00592249780897,64,4.8,5,7.1,30,33,0,0,0,0,0,0
A,1,34,48.042088118195466,64,4.8,4.9,6.8,2,34,0,0,0,0,0,0
A,1,35,48.07828054577118,64,4.8,4.9,6.6,2,35,0,0,0,0,0,0
A,1,36,48.11442436575891,64,4.7,4.8,6.9,2,36,0,0,0,0,0,0
A,1,37,48.15044099241493,64,4.7,4.9,6.8,2,37,0,0,0,0,0,0
A,1,38,48.1862515375019,64,4.7,4.9,6.8,2,38,0,0,0,0,0,0
A,1,39,48.22177927196026,64,4.7,4.8,6.7,2,39,0,0,0,0,0,0
A,1,40,48.256951592117616,64,4.7,4.8,6.8,2,40,0,0,0,0,0,0
A,1,41,48.29170162081721,64,4.7,4.9,6.7,2,41,0,0,0,0,0,0
A,1,42,48.32596928700798,64,4.7,4.8,6.7,2,42,0,0,0,0,0,0
A,1,43,48.35970218628648,64,4.7,4.9,6.7,2,43,0,0,0,0,0,0
A,1,44,48.392855721712124,64,4.7,4.8,6.6,2,44,0,0,0,0,0,0
A,1,45,48.42539348453289,64,4.7,4.9,6.9,2,45,0,0,0,0,0,0
A,1,46,48.45728705078358,64,4.7,4.8,6.8,2,46,0,0,0,0,0,0
A,1,47,48.48851566314704,64,4.7,4.8,6.7,2,47,0,0,0,0,0,0
A,1,48,48.51906575113537,64,4.75,4.9,6.6,2,48,0,0,0,0,0,0
A,1,49,48.548930336534966,64,4.7,4.9,6.8,2,49,0,0,0,0,0,0
A,1,50,48.578108470141956,64,4.8,4.9,6.7,2,50,0,0,0,0,0,0
A,1,51,48.60660451203586,64,4.7,4.8,6.8,2,51,0,0,0,0,0,0
A,1,52,48.634427432715825,64,4.8,4.9,6.8,2,52,0,0,0,0,0,0
A,1,53,48.661590208113125,64,4.7,4.9,6.8,2,53,0,0,0,0,0,0
A,1,54,48.6881090790032,64,4.8,5.1,7.6,55,54,0,0,0,0,0,0
A,1,55,48.71400299817316,64,4.7,4.8,6.9,2,55,0,0,0,0,0,0
A,1,56,48.739292983710754,64,4.75,4.9,6.8,2,56,0,0,0,0,0,0
A,1,57,48.76400166004896,64,4.8,4.9,6.8,2,57,0,0,0,0,0,0
A,1,58,48.78828783631326,64,4.7,4.9,6.7,2,58,0,0,0,0,0,0
A,1,59,48.81413910388949,64,4.8,4.9,6.8,2,59,0,0,0,0,0,0
A,1,60,100,64,2.6,2.7,4.2,57,60,0,0,0,0,0,0
A,1,61,125,64,2.8,2.9,3.7,2,61,0,0,0,0,0,0
A,1,62,150,64,2.9,3,4.1,2,62,0,0,0,0,0,0
A,1,63,175,64,3.1,3.1,4.2,2,63,0,0,0,0,0,0
A,1,64,200,64,3.2,3.3,4.3,2,64,0,0,0,0,0,0
A,1,65,225,64,3.4,3.4,4.6,2,65,0,0,0,0,0,0
A,1,66,250,64,3.5,3.6,4.8,2,66,0,0,0,0,0,0
A,1,67,267.45358095765107,64,5.1,5.3,7.3,2,67,0,0,0,0,0,0
A,1,68,267.50258015990255,64,5.1,5.2,7,2,68,0,0,0,0,0,0
A,1,69,267.5165805220603,64,5.1,5.1,6.8,2,69,0,0,0,0,0,0
A,1,70,267.61186883449557,64,5.1,5.1,6.9,2,70,0,0,0,0,0,0
A,1,71,267.7532800316808,64,5.1,5.2,6.9,2,71,0,0,0,0,0,0
A,1,72,267.76519510746004,64,5.1,5.2,6.9,2,72,0,0,0,0,0,0
A,1,73,267.7772412359715,64,5.1,5.2,6.8,2,73,0,0,0,0,0,0
A,1,74,267.78551645874984,64,5,5.2,5.2,0,74,0,0,0,0,0,0
A,1,75,267.82730354666717,64,5,5.2,5.2,0,75,0,0,0,0,0,0
A,1,76,267.90293265581147,64,5,5.2,6.5,32,76,0,0,0,0,0,0
A,1,77,267.9171129286291,64,5.1,5.2,5.2,0,77,0,0,0,0,0,0
A,1,78,267.93677989244463,64,5.1,5.1,5.2,0,78,0,0,0,0,0,0
A,1,79,268.0753684282305,64,5.1,5.2,5.3,10,79,0,0,0,0,0,0
A,1,80,268.08787213563915,64,5.1,5.2,6.8,15,80,0,0,0,0,0,0
A,1,81,268.18782694339745,64,5.1,5.2,6.6,51,81,0,0,0,0,0,0
A,1,82,268.22862460613226,64,5,5.1,5.3,0,82,0,0,0,0,0,0
A,1,83,268.258955323696,64,5,5.1,5.2,0,83,0,0,0,0,0,0
A,1,84,268.32134410142896,64,5,5.1,5.2,0,84,0,0,0,0,0,0
A,1,85,268.3765215992928,64,5,5.1,5.2,0,85,0,0,0,0,0,0
A,1,86,268.3879977881908,64,5,5.1,5.2,0,86,0,0,0,0,0,0
A,1,87,268.4279694974422,64,5.1,5.2,5.2,0,87,0,0,0,0,0,0
A,1,88,268.4353395342828,64,5.1,5.2,6.7,45,88,0,0,0,0,0,0
A,1,89,268.43746053576467,64,5,5.1,5.2,0,89,0,0,0,0,0,0
A,1,90,268.495750629902,64,5,5.1,5.2,0,90,0,0,0,0,0,0
A,1,91,268.5486411511898,64,5.1,5.1,20,46,91,0,0,0,0,0,0
A,1,92,268.59354792833335,64,5.1,5.2,5.2,0,92,0,0,0,0,0,0
